Image,x1,y1,x2,y2,ClassNo,Test,Class,Make,Model,Type,Year,img_h,img_w,channels
000001.jpg,112,7,853,717,1,0,AM General Hummer SUV 2000,AM General,Hummer,SUV,2000,768,1024,3
000002.jpg,48,24,441,202,1,0,AM General Hummer SUV 2000,AM General,Hummer,SUV,2000,219,460,3
000003.jpg,7,4,277,180,1,0,AM General Hummer SUV 2000,AM General,Hummer,SUV,2000,233,310,3
000004.jpg,33,50,197,150,1,0,AM General Hummer SUV 2000,AM General,Hummer,SUV,2000,188,250,3
000005.jpg,5,8,83,58,1,0,AM General Hummer SUV 2000,AM General,Hummer,SUV,2000,64,85,3
000006.jpg,10,6,250,110,1,0,AM General Hummer SUV 2000,AM General,Hummer,SUV,2000,111,250,3
000007.jpg,56,1,394,176,1,0,AM General Hummer SUV 2000,AM General,Hummer,SUV,2000,176,464,3
000008.jpg,1,13,113,83,1,0,AM General Hummer SUV 2000,AM General,Hummer,SUV,2000,85,113,3
000009.jpg,15,111,271,272,1,0,AM General Hummer SUV 2000,AM General,Hummer,SUV,2000,276,300,3
000010.jpg,14,18,148,107,1,0,AM General Hummer SUV 2000,AM General,Hummer,SUV,2000,111,148,3
000011.jpg,5,8,91,59,1,0,AM General Hummer SUV 2000,AM General,Hummer,SUV,2000,72,96,3
000012.jpg,29,18,157,86,1,0,AM General Hummer SUV 2000,AM General,Hummer,SUV,2000,100,160,3
000013.jpg,1,1,300,179,1,0,AM General Hummer SUV 2000,AM General,Hummer,SUV,2000,179,300,3
000014.jpg,9,1,152,103,1,0,AM General Hummer SUV 2000,AM General,Hummer,SUV,2000,120,160,3
000015.jpg,4,15,94,63,1,0,AM General Hummer SUV 2000,AM General,Hummer,SUV,2000,71,94,3
000016.jpg,12,16,117,71,1,0,AM General Hummer SUV 2000,AM General,Hummer,SUV,2000,93,124,3
000017.jpg,1,5,160,89,1,0,AM General Hummer SUV 2000,AM General,Hummer,SUV,2000,91,160,3
000018.jpg,46,84,661,428,1,0,AM General Hummer SUV 2000,AM General,Hummer,SUV,2000,525,700,3
000019.jpg,86,81,371,252,1,0,AM General Hummer SUV 2000,AM General,Hummer,SUV,2000,272,450,3
000020.jpg,26,32,677,418,1,0,AM General Hummer SUV 2000,AM General,Hummer,SUV,2000,439,700,3
000021.jpg,50,127,587,396,1,0,AM General Hummer SUV 2000,AM General,Hummer,SUV,2000,480,640,3
000022.jpg,6,9,124,89,1,0,AM General Hummer SUV 2000,AM General,Hummer,SUV,2000,98,130,3
000023.jpg,52,25,751,507,1,0,AM General Hummer SUV 2000,AM General,Hummer,SUV,2000,533,800,3
000024.jpg,3,23,132,98,1,0,AM General Hummer SUV 2000,AM General,Hummer,SUV,2000,103,137,3
